INFO 2025-07-07 14:30:05,499 autoreload 15160 18788 Watching for file changes with StatReloader
INFO 2025-07-07 14:30:11,442 autoreload 15160 18788 C:\Users\jason\Documents\ProjetosDEV\ProjectLabAtualizado2\LabConnect\settings\development.py changed, reloading.
INFO 2025-07-07 14:30:12,408 autoreload 21092 2100 Watching for file changes with StatReloader
INFO 2025-07-07 14:31:00,600 autoreload 21092 2100 C:\Users\jason\Documents\ProjetosDEV\ProjectLabAtualizado2\scheduling\admin.py changed, reloading.
INFO 2025-07-07 14:31:01,877 autoreload 18912 11368 Watching for file changes with StatReloader
INFO 2025-07-07 14:39:29,876 autoreload 18912 11368 C:\Users\jason\Documents\ProjetosDEV\ProjectLabAtualizado2\dashboard\views.py changed, reloading.
INFO 2025-07-07 14:39:30,941 autoreload 18668 12984 Watching for file changes with StatReloader
INFO 2025-07-07 14:39:52,028 autoreload 18668 12984 C:\Users\jason\Documents\ProjetosDEV\ProjectLabAtualizado2\LabConnect\settings\development.py changed, reloading.
INFO 2025-07-07 20:20:29,308 views 2780 5652    Labels: 9
INFO 2025-07-07 20:20:29,309 views 2780 5652    Datasets: 2
INFO 2025-07-07 20:20:29,310 views 2780 5652    Dataset 0 (Laboratório de Anatomia): Total=0
INFO 2025-07-07 20:20:29,310 views 2780 5652    Dataset 1 (testetes): Total=1
INFO 2025-07-07 20:20:30,757 views 2780 5652    Labels: 13
INFO 2025-07-07 20:20:30,757 views 2780 5652    Datasets: 2
INFO 2025-07-07 20:20:30,757 views 2780 5652    Dataset 0 (Laboratório de Anatomia): Total=0
INFO 2025-07-07 20:20:30,757 views 2780 5652    Dataset 1 (testetes): Total=1
INFO 2025-07-07 20:20:32,847 views 2780 5652    Labels: 13
INFO 2025-07-07 20:20:32,847 views 2780 5652    Datasets: 2
INFO 2025-07-07 20:20:32,847 views 2780 5652    Dataset 0 (Laboratório de Anatomia): Total=0
INFO 2025-07-07 20:20:32,847 views 2780 5652    Dataset 1 (testetes): Total=1
INFO 2025-07-07 20:20:33,826 views 2780 5652    Labels: 6
INFO 2025-07-07 20:20:33,826 views 2780 5652    Datasets: 2
INFO 2025-07-07 20:20:33,827 views 2780 5652    Dataset 0 (Laboratório de Anatomia): Total=0
INFO 2025-07-07 20:20:33,827 views 2780 5652    Dataset 1 (testetes): Total=1
INFO 2025-07-07 20:20:40,604 views 2780 5652    Labels: 13
INFO 2025-07-07 20:20:40,605 views 2780 5652    Datasets: 2
INFO 2025-07-07 20:20:40,605 views 2780 5652    Dataset 0 (Laboratório de Anatomia): Total=0
INFO 2025-07-07 20:20:40,605 views 2780 5652    Dataset 1 (testetes): Total=1
INFO 2025-07-07 20:20:44,405 views 2780 5652    Labels: 6
INFO 2025-07-07 20:20:44,405 views 2780 5652    Datasets: 1
INFO 2025-07-07 20:20:44,405 views 2780 5652    Dataset 0 (testetes): Total=1
